X,Y
0.0120972991689751,6.90677027166096
0.0287520877818175,6.09611648390733
0.0525056387542321,5.70700266578559
0.0833579520862188,5.41516730219428
0.121309027777778,5.22061039313341
0.166358865828909,5.05847963558268
0.218507466239612,4.96120118105224
0.277754829009888,4.86392272652181
0.344100954139735,4.76664427199137
0.417545841629155,4.70179196897108
0.498089491478147,4.63693966595079
0.585731903686711,4.60451351444065
0.69874,4.5720873629305
0.782313015182556,4.53966121142036
0.936814847645429,4.53966121142036
1.00728917611669,4.50723505991021
1.13042540012311,4.50723505991021
1.26066038648911,4.53966121142036
1.39799413521468,4.50723505991021
1.54242664629982,4.47480890840007
1.69395791974454,4.44238275688992
1.85258795554882,4.40995660537977
2.01831675371268,4.40995660537977
2.19114431423611,4.37753045386963
2.37107063711911,4.37753045386963
