X,Y
0.0151748520775623,0.188167
0.0286154837354571,0.222823
0.04367125,0.250552
0.0603746684113573,0.276335
0.0786626878462604,0.299045
0.098674475634349,0.326136
0.1203404965,0.35235
0.143654411458449,0.373948
0.168489053700831,0.398041
0.195108337905817,0.423318
0.223263108099723,0.442477
0.253093354228532,0.469001
0.284558719702216,0.490924
0.317619138265928,0.51259
0.35249599049446,0.536239
0.388914861253463,0.555023
0.426836264958449,0.580249
0.466521454882272,0.598727
0.526000681209141,0.631456
0.719113061530471,0.718666
0.940651191547091,0.80911
1.19045166094183,0.898638
1.46856764944183,0.984993
1.77585274247645,1.07481
2.11102830391274,1.16196
2.47516083164543,1.24815
