We,alpha
0.0120972991689751,0.369725016621495
0.0331417090194038,0.454284070431369
0.064571671783031,0.461646616318537
0.106387187459857,0.450158572439258
0.158588256049881,0.435421101737733
0.221174877553104,0.419106237857218
0.294147051969526,0.402258957135239
0.377504779299146,0.386710936238415
0.471248059541965,0.37100342485552
0.575376892697982,0.356453288293513
0.689891278767198,0.341798048348813
0.814791217749612,0.329117755332958
0.950076709645225,0.316274246136141
1.09574775445404,0.304254402471806
1.25180435217605,0.293106220762585
1.41824650281126,0.286199501942826
1.59507420635966,0.282869224117358
1.78228746282127,0.283102918775472
1.97988627219607,0.284389760109768
2.18787063448408,0.285731737122375
2.40624054968528,0.287303292107528
2.63499601779968,0.28936835712046
2.87413703882728,0.290413950633024
3.12366361276807,0.291147843399849
3.38357573962207,0.293151526730934
3.65387341938927,0.294462498526882
3.93455665206966,0.296183294220737
4.22562543766325,0.29743958335894
4.52707977617004,0.298917917162567
4.83891966759003,0.300850871838238
